iter	Logloss
0	0.6869982505
1	0.6822533899
2	0.6772817495
3	0.6729819629
4	0.6690985232
5	0.6667441543
6	0.663509291
7	0.6579303352
8	0.6547062154
9	0.6526400508
10	0.6508803076
11	0.64732174
12	0.6432798736
13	0.6410571507
14	0.6388958522
15	0.6375661967
16	0.6358363093
17	0.6328846678
18	0.6308215394
19	0.6285782639
20	0.6268934133
21	0.6251273642
22	0.6215639698
23	0.6209671643
24	0.6185720794
25	0.6162845067
26	0.6150300551
27	0.6130765409
28	0.611911073
29	0.6105421417
30	0.6073269747
31	0.6058398655
32	0.6046050714
33	0.6039243426
34	0.6007116279
35	0.5988130375
36	0.5973066602
37	0.5966180295
38	0.5950930848
39	0.5948789947
40	0.5927887741
41	0.5923154403
42	0.5916623485
43	0.5904795588
44	0.5887087608
45	0.5880537228
46	0.5830362281
47	0.5822263056
48	0.5814964917
49	0.5785782094
50	0.5779436073
51	0.577436019
52	0.5767587934
53	0.5751162938
54	0.5740268084
55	0.5726112833
56	0.5715998825
57	0.5704264349
58	0.5696408408
59	0.5680650594
60	0.5662171889
61	0.564865813
62	0.5632705688
63	0.5619308316
64	0.5612796083
65	0.5601151525
66	0.5594468019
67	0.5578704756
68	0.5557296909
69	0.5551636365
70	0.5528887535
71	0.5523225045
72	0.5509394432
73	0.549847272
74	0.5491069872
75	0.5484775232
76	0.5470679925
77	0.5454047456
78	0.5446533281
79	0.5436880929
80	0.5419432971
81	0.5397776779
82	0.5381132632
83	0.5370573706
84	0.5354604137
85	0.533809584
86	0.5321288206
87	0.530163979
88	0.5289052068
89	0.5272203562
90	0.5250148384
91	0.5234958104
92	0.5213929001
93	0.5191386476
94	0.5172084108
95	0.5166585494
96	0.5161505719
97	0.5152821833
98	0.5141775949
99	0.5132916898
100	0.5114628539
101	0.51051206
102	0.5095631736
103	0.5086043222
104	0.5067725279
105	0.5045618719
106	0.5034508219
107	0.5023087482
108	0.4999557417
109	0.4984851759
110	0.4973608523
111	0.4969966266
112	0.4962643993
113	0.4955045739
114	0.495060006
115	0.4941461524
116	0.493254681
117	0.4929124093
118	0.4921861765
119	0.4916485767
120	0.4898597951
121	0.4892444221
122	0.487647076
123	0.4862715663
124	0.4841582629
125	0.4834591613
126	0.4819961081
127	0.4813367104
128	0.4807371023
129	0.4800903943
130	0.479009278
131	0.4787750633
132	0.4765130646
133	0.4753771801
134	0.4753338561
135	0.4747037304
136	0.4733923309
137	0.4726314155
138	0.4715209494
139	0.4701173743
140	0.4693327145
141	0.4682320965
142	0.466279205
143	0.4654163828
144	0.4649136991
145	0.4646322289
146	0.4623275679
147	0.4613865444
148	0.4596389459
149	0.4594010723
150	0.4589357571
151	0.4580726624
152	0.4572043127
153	0.457140436
154	0.4556008942
155	0.4543750529
156	0.4542469881
157	0.4537604974
158	0.4532981795
159	0.4530749418
160	0.4524740492
161	0.4524093939
162	0.4523499936
163	0.4520574297
164	0.4519873639
165	0.4512330659
166	0.4507559951
167	0.450492781
168	0.4498039557
169	0.4486275498
170	0.4480214022
171	0.4479057935
172	0.4472098448
173	0.4471551934
174	0.4460597136
175	0.4455229312
176	0.4445634959
177	0.4439019962
178	0.4436766177
179	0.4432605821
180	0.4428188558
181	0.4413742922
182	0.4404988581
183	0.4390085571
184	0.43847158
185	0.437777889
186	0.4373540294
187	0.4364964232
188	0.4363530996
189	0.4356590193
190	0.4347320479
191	0.4346083038
192	0.433853383
193	0.4328617563
194	0.4309732087
195	0.4302525423
196	0.4299791297
197	0.4291345246
198	0.4275472602
199	0.4274270972
200	0.4266357811
201	0.4257831963
202	0.42366565
203	0.4231726199
204	0.4228899041
205	0.4222830169
206	0.4216010425
207	0.4204540253
208	0.4203706858
209	0.4194032319
210	0.4191720145
211	0.4189155734
212	0.4185713165
213	0.4184153421
214	0.4178944802
215	0.4177365595
216	0.4165194764
217	0.4163673946
218	0.4163152344
219	0.4158502306
220	0.4155433421
221	0.4149960109
222	0.4142820397
223	0.4142424136
224	0.4124638694
225	0.4123463533
226	0.4122231931
227	0.4109921358
228	0.4104750108
229	0.4101300532
230	0.4095009784
231	0.4079194361
232	0.407767471
233	0.4076352801
234	0.4069897009
235	0.4067294062
236	0.4059663111
237	0.4057270751
238	0.4051350963
239	0.4043238504
240	0.4040004185
241	0.403035378
242	0.4029698275
243	0.4023972336
244	0.4020610731
245	0.4016285721
246	0.4002450437
247	0.3998569566
248	0.3993826107
249	0.3987939017
250	0.3982911402
251	0.3978360624
252	0.3975188586
253	0.3973805953
254	0.3973016155
255	0.3963181243
256	0.3960702079
257	0.3957830935
258	0.3956076953
