iter	Passed	Remaining
0	1	1404
1	1	925
2	2	727
3	2	687
4	3	632
5	3	594
6	4	621
7	4	591
8	5	595
9	5	571
10	6	551
11	6	535
12	6	520
13	7	513
14	7	510
15	8	503
16	8	494
17	8	487
18	9	488
19	9	481
20	10	473
21	10	465
22	10	459
23	11	453
24	11	448
25	11	444
26	12	439
27	12	435
28	12	431
29	13	427
30	13	425
31	13	422
32	14	420
33	14	418
34	15	416
35	16	428
36	16	428
37	16	429
38	17	427
39	17	425
40	18	423
41	18	421
42	18	418
43	19	416
44	19	414
45	19	413
46	20	411
47	20	412
48	21	411
49	21	411
50	22	412
51	22	411
52	22	410
53	23	409
54	23	408
55	24	410
56	24	410
57	25	409
58	25	408
59	26	408
60	26	407
61	26	406
62	27	405
63	27	403
64	27	402
65	28	401
66	28	400
67	29	399
68	29	398
69	29	397
70	30	395
71	30	394
72	30	393
73	31	393
74	31	393
75	32	393
76	32	394
77	33	393
78	33	392
79	34	391
80	34	390
81	34	389
82	35	388
83	35	386
84	35	385
85	36	384
86	36	382
87	36	382
88	37	381
89	37	381
90	38	380
91	38	380
92	38	380
93	39	380
94	39	380
95	40	380
96	40	379
97	41	378
98	41	377
99	41	376
100	42	376
101	42	375
102	43	374
103	43	373
104	43	373
105	44	372
106	44	371
107	44	370
108	45	369
109	45	369
110	46	368
111	46	368
112	46	367
113	47	367
114	47	367
115	48	366
116	48	366
117	48	365
118	49	364
119	49	363
120	49	363
121	50	362
122	50	361
123	51	360
124	51	360
125	51	359
126	52	358
127	52	358
128	52	357
129	53	357
130	53	356
131	54	356
132	54	355
133	55	355
134	55	355
135	55	354
136	56	354
137	56	353
138	56	353
139	57	352
140	57	351
141	58	351
142	58	350
143	58	349
144	59	349
145	59	348
146	60	348
147	60	348
148	60	347
149	61	346
150	61	346
151	61	345
152	62	348
153	63	348
154	63	348
155	64	347
156	64	346
157	64	346
158	65	345
159	65	344
160	66	344
161	66	343
162	66	342
163	67	342
164	67	342
165	68	342
166	68	341
167	68	341
168	69	340
169	69	339
170	69	339
171	70	338
172	70	338
173	71	337
174	71	337
175	71	336
176	72	336
177	72	336
178	73	336
179	74	339
180	74	339
181	76	345
182	78	349
183	78	350
184	79	351
185	80	350
186	80	350
187	81	350
188	81	350
189	82	349
190	82	348
191	82	348
192	83	347
193	83	346
194	83	345
195	84	345
196	84	344
197	84	343
198	85	342
199	85	341
200	85	341
201	86	340
202	86	339
203	86	338
204	87	337
205	87	337
206	87	337
207	88	336
208	88	335
209	89	335
210	89	334
211	89	334
212	90	333
213	90	332
214	90	331
